person,personLabel,cricinfoIdLabel,Wikipedia_page_links,Wikipedia_image_link
http://www.wikidata.org/entity/Q5280852,Dirk Nannes,6981,https://en.wikipedia.org/wiki/Dirk_Nannes,File:Dirk_nannes.jpg
http://www.wikidata.org/entity/Q7519455,Simon O'Donnell,6995,https://en.wikipedia.org/wiki/Simon_O'Donnell,nan
http://www.wikidata.org/entity/Q3343706,Norm O'Neill,7015,https://en.wikipedia.org/wiki/Norm_O'Neill,File:NC_O%27Neill.jpg
http://www.wikidata.org/entity/Q2738964,Bill O'Reilly,7020,https://en.wikipedia.org/wiki/Bill_O'Reilly_(cricketer),File:Bill_O%27Reilly_1934-8_card.jpg
http://www.wikidata.org/entity/Q4978191,Bruce Reid,7319,https://en.wikipedia.org/wiki/Bruce_Reid,File:Bruce_Reid.jpg
http://www.wikidata.org/entity/Q2142261,Ray Robinson,7377,https://en.wikipedia.org/wiki/Ray_Robinson_(Australian_cricketer),File:Ray_Robinson_1936.png
http://www.wikidata.org/entity/Q13638774,Jack Rutherford,7411,https://en.wikipedia.org/wiki/Jack_Rutherford_(cricketer),nan
http://www.wikidata.org/entity/Q6212726,Joe Travers,7963,https://en.wikipedia.org/wiki/Joe_Travers,"File:Joe_Travers,_1914.png"
http://www.wikidata.org/entity/Q13117461,George Tribe,7968,https://en.wikipedia.org/wiki/George_Tribe,nan
http://www.wikidata.org/entity/Q13119829,Mike Whitney,8220,https://en.wikipedia.org/wiki/Mike_Whitney,nan
http://www.wikidata.org/entity/Q784331,Bill Woodfull,8246,https://en.wikipedia.org/wiki/Bill_Woodfull,File:Bill_Woodfull_1934.jpg
http://www.wikidata.org/entity/Q6529634,Les Jackson,15464,https://en.wikipedia.org/wiki/Les_Jackson_(cricketer),nan
http://www.wikidata.org/entity/Q3527030,Paul Jarvis,15485,https://en.wikipedia.org/wiki/Paul_Jarvis,nan
http://www.wikidata.org/entity/Q7606598,Steffan Jones,15552,https://en.wikipedia.org/wiki/Steffan_Jones,nan
http://www.wikidata.org/entity/Q7352584,Robin Jones,15553,https://en.wikipedia.org/wiki/Robin_Jones_(cricketer),nan
http://www.wikidata.org/entity/Q3526883,Vallance Jupp,15572,https://en.wikipedia.org/wiki/Vallance_Jupp,File:Vallance_Jupp_1927.jpg
http://www.wikidata.org/entity/Q3526939,James Kirtley,15901,https://en.wikipedia.org/wiki/James_Kirtley,File:James_kirtley.jpg
http://www.wikidata.org/entity/Q3526878,Allan Lamb,16178,https://en.wikipedia.org/wiki/Allan_Lamb,nan
http://www.wikidata.org/entity/Q4760957,Andy Lloyd,16322,https://en.wikipedia.org/wiki/Andy_Lloyd_(cricketer),nan
